# 函戈五笔 拼音码表
# 格式：拼音	汉字	权重
# 来源：rime-pinyin-simp + rime-luna-pinyin
# 条目数：119004
zhuyaoneirong	主要内容	4310
aosika	奥斯卡	4309
bufu	不符	4309
dadou	大都	4309
dantiao	单挑	4309
fugui	富贵	4309
gongzuori	工作日	4309
gouzhi	购置	4309
gun	棍	4309
guocuo	过错	4309
haihuiyou	还会有	4309
jiangshan	江山	4309
jiangwei	将为	4309
jingjichang	竞技场	4309
qingchao	清朝	4309
shanghui	商会	4309
shengchanjingying	生产经营	4309
shengqi	升起	4309
shoujia	首家	4309
tuili	推理	4309
xiaoniu	小牛	4309
xiazhai	狭窄	4309
yuandi	原地	4309
zhuyishixiang	注意事项	4309
zoukai	走开	4309
bashi	巴士	4308
biaoge	表哥	4308
chufen	处分	4308
daoxia	倒下	4308
guangcai	光彩	4308
haidi	海底	4308
nisuo	你所	4308
tongzhang	通胀	4308
xiadan	下单	4308
xianzhi	闲置	4308
yesheng	野生	4308
zeling	责令	4308
buxian	不限	4307
chushi	厨师	4307
dengxia	灯下	4307
dianzu	电阻	4307
gouzhu	构筑	4307
jiancang	建仓	4307
lv	律	4307
outu	呕吐	4307
sima	司马	4307
zhuangban	装扮	4307
chengxiang	成像	4306
fajiao	发酵	4306
jiancha	监察	4306
qia	恰	4306
shenzhilian	甚至连	4306
yanmo	淹没	4306
yipianwenzhang	一篇文章	4306
chuansuo	穿梭	4305
donglu	东路	4305
gugu	姑姑	4305
jingmao	经贸	4305
jisui	几岁	4305
paochu	抛出	4305
sanxiang	三项	4305
shaoyou	稍有	4305
shenyuan	深渊	4305
siren	四人	4305
woxin	我心	4305
xi	惜	4305
yinghua	樱花	4305
yiwan	一晚	4305
youxiaoqi	有效期	4305
zairuzhong	载入中	4305
zhai	斋	4305
zhegechengshi	这个城市	4305
zhene	着呢	4305
zhesange	这三个	4305
zhuantie	转贴	4305
chuzhong	初衷	4304
gonghuo	供货	4304
hezhun	核准	4304
jianguo	建国	4304
kanqingchu	看清楚	4304
lieju	列举	4304
meixue	美学	4304
mu	姆	4304
ping	坪	4304
pu	浦	4304
shu	束	4304
guifanhua	规范化	4303
guishu	归属	4303
haixu	还需	4303
huahui	花卉	4303
huanshang	换上	4303
huaxin	花心	4303
juli	举例	4303
rili	日历	4303
shenjia	身价	4303
shishuo	是说	4303
xi	稀	4303
zhenduixing	针对性	4303
zhizhan	之战	4303
baozhong	保重	4302
bingxue	冰雪	4302
change	嫦娥	4302
dandiao	单调	4302
fabao	法宝	4302
huicheng	回城	4302
nvzu	女足	4302
shijiade	是假的	4302
touxiang	投降	4302
woke	我可	4302
yuelaiyueshao	越来越少	4302
fazhanfangxiang	发展方向	4301
kuaguo	跨国	4301
liudian	六点	4301
shangsu	上诉	4301
shaoshao	稍稍	4301
yanjuan	厌倦	4301
yinshui	饮水	4301
zhida	直达	4301
banjiang	颁奖	4300
bufuzeren	不负责任	4300
chuantongwenhua	传统文化	4300
daishang	戴上	4300
ganlai	赶来	4300
guibi	规避	4300
jianshou	坚守	4300
jiari	假日	4300
piaopiao	飘飘	4300
renqing	人情	4300
rexue	热血	4300
shangyi	上衣	4300
shenchen	深沉	4300
tuo	拓	4300
wulumuqi	乌鲁木齐	4300
bandaoti	半导体	4299
cangsang	沧桑	4299
chufadian	出发点	4299
dangdang	当当	4299
duanlie	断裂	4299
gaishu	概述	4299
gejie	各界	4299
gongzheng	公证	4299
guodegang	郭德纲	4299
haidianqu	海淀区	4299
hulian	互联	4299
jiangta	将它	4299
jianzhumianji	建筑面积	4299
jieting	接听	4299
kexuan	可选	4299
laoye	老爷	4299
nainiu	奶牛	4299
paoniu	泡妞	4299
qimo	期末	4299
renxing	任性	4299
taimang	太忙	4299
tuji	突击	4299
tuoluo	脱落	4299
wanhou	完后	4299
wanqu	弯曲	4299
xinxixitong	信息系统	4299
xiushi	修饰	4299
yili	毅力	4299
yingbi	硬币	4299
bianyaqi	变压器	4298
bingfang	病房	4298
chongchi	充斥	4298
dingjian	顶尖	4298
gailiang	改良	4298
haozhai	豪宅	4298
jiezhi	介质	4298
laodongbaozhang	劳动保障	4298
qun	裙	4298
shili	视力	4298
techang	特长	4298
touying	投影	4298
tun	吞	4298
xiezi	写字	4298
yibing	一并	4298
yiti	议题	4298
youxing	有幸	4298
zhongsheng	终生	4298
beirenweishi	被认为是	4297
caixiang	猜想	4297
feidian	非典	4297
gande	干的	4297
gulv	顾虑	4297
haiting	还挺	4297
jieshi	结实	4297
jiugoule	就够了	4297
milian	迷恋	4297
nue	虐	4297
qingche	清澈	4297
shashi	啥事	4297
tonggan	同感	4297
waiwang	外网	4297
xiangyaode	想要的	4297
xixi	西西	4297
yiban	一班	4297
yiweiziji	以为自己	4297
youhao	油耗	4297
zhuomo	琢磨	4297
zuipa	最怕	4297
zuochulai	做出来	4297
afuhan	阿富汗	4296
bangonglou	办公楼	4296
chaoshi	潮湿	4296
dajun	大军	4296
die	叠	4296
fuchu	复出	4296
fuwushang	服务商	4296
gaigai	改改	4296
jianmo	建模	4296
kangti	抗体	4296
keguan	可观	4296
kuaijiejian	快捷键	4296
nianbao	年报	4296
panchu	判处	4296
rena	人啊	4296
shenghaizi	生孩子	4296
shu	疏	4296
shujuxian	数据线	4296
taiping	太平	4296
tanwu	贪污	4296
tiaochu	跳出	4296
xiaohei	小黑	4296
xiaomi	小米	4296
xinjing	心境	4296
yehuiyou	也会有	4296
yun	芸	4296
asenna	阿森纳	4295
feifei	飞飞	4295
jingqi	惊奇	4295
kehutigong	客户提供	4295
mihu	迷糊	4295
nindui	您对	4295
pingzhe	凭着	4295
ranyou	燃油	4295
renyuren	人与人	4295
xuezi	学子	4295
yushi	浴室	4295
zhuansu	转速	4295
chuanshou	传授	4294
daren	打人	4294
dongdang	动荡	4294
fute	福特	4294
haidian	海淀	4294
jingjijianshe	经济建设	4294
liangxing	良性	4294
shangjie	上街	4294
shuangshuang	双双	4294
tezhi	特质	4294
tiwen	体温	4294
wangnian	往年	4294
wuyeguanli	物业管理	4294
xiasi	吓死	4294
youtaiduo	有太多	4294
zhetian	这天	4294
zhiding	置顶	4294
dian	颠	4293
huaijiu	怀旧	4293
jie	劫	4293
kunshan	昆山	4293
nizuo	你做	4293
shurukuang	输入框	4293
weiju	位居	4293
xiangwai	向外	4293
xiongdijiemei	兄弟姐妹	4293
xiyinren	吸引人	4293
yichan	遗产	4293
fenliu	分流	4292
gongchanzhuyi	共产主义	4292
gongzuozu	工作组	4292
heima	黑马	4292
lilai	历来	4292
lizi	粒子	4292
lvyouye	旅游业	4292
reshuiqi	热水器	4292
sha	砂	4292
sifang	四方	4292
tuice	推测	4292
wang	亡	4292
wanquanmeiyou	完全没有	4292
xin	锌	4292
yimoyiyang	一模一样	4292
yiqing	疫情	4292
yixiajiancheng	以下简称	4292
yu	郁	4292
yundonghui	运动会	4292
zhezhongfangshi	这种方式	4292
bukui	不愧	4291
buxiang	不象	4291
daoci	到此	4291
huisuo	会所	4291
mianshang	面上	4291
nanlu	南路	4291
qianlie	前列	4291
renneng	人能	4291
shengyu	声誉	4291
shenshi	审视	4291
tianchong	填充	4291
tianhe	天河	4291
yao	尧	4291
zhan	沾	4291
zhidi	质地	4291
zhuahuo	抓获	4291
bushu	不熟	4290
feicui	翡翠	4290
guji	顾及	4290
jijicanyu	积极参与	4290
niaoren	鸟人	4290
qiao	翘	4290
sui	穗	4290
tanyan	坦言	4290
tongwang	通往	4290
yiwu	衣物	4290
yong	涌	4290
you	邮	4290
zhu	株	4290
zhuanhui	转会	4290
longzhao	笼罩	4289
qian	潜	4289
qianwei	前卫	4289
wuxia	武侠	4289
biewang	别忘	4288
ciwen	此文	4288
cong	聪	4288
genshang	跟上	4288
houlong	喉咙	4288
jialiren	家里人	4288
kuaican	快餐	4288
santiao	三条	4288
yipiao	一票	4288
youdianer	有点儿	4288
zhongyaozuoyong	重要作用	4288
zonggui	总归	4288
beipan	被判	4287
changxiao	畅销	4287
jianti	简体	4287
jutiqingkuang	具体情况	4287
qiufeng	秋风	4287
suoxie	缩写	4287
wushuci	无数次	4287
yijia	一架	4287
zhouwen	皱纹	4287
canji	残疾	4286
chidiao	吃掉	4286
hu	糊	4286
ling	陵	4286
meiyoushijian	没有时间	4286
qiangying	强硬	4286
shifan	师范	4286
shiqi	十七	4286
shuye	树叶	4286
taoli	逃离	4286
wei	谓	4286
xilu	西路	4286
yinliang	音量	4286
yipai	一排	4286
zanshang	赞赏	4286
ala	阿拉	4285
anan	安安	4285
benbo	奔波	4285
bingyi	并以	4285
chaoshi	超时	4285
chugui	橱柜	4285
dinghuo	订货	4285
doubi	都比	4285
fenji	分级	4285
heiping	黑屏	4285
hongle	红了	4285
hongyang	弘扬	4285
hu	壶	4285
huabei	华北	4285
jianbie	鉴别	4285
mei	媚	4285
qianyitian	前一天	4285
qingjie	情结	4285
qingshi	请示	4285
quwei	趣味	4285
rao	饶	4285
shirun	湿润	4285
shisha	是啥	4285
xiaobian	小编	4285
yaokong	遥控	4285
zhedoushi	这都是	4285
zhehui	这会	4285
zhuoshi	着实	4285
zuoda	做大	4285
bianbu	遍布	4284
chedan	扯淡	4284
dangzhu	挡住	4284
fenhong	粉红	4284
geng	庚	4284
guanlizhidu	管理制度	4284
jiaohuo	交货	4284
najia	那家	4284
neijia	那家	4284
xiaoming	小明	4284
yebi	也比	4284
zhuanren	专人	4284
bianmi	便秘	4283
bumian	不免	4283
buquan	不全	4283
gaobudong	搞不懂	4283
jiaowo	教我	4283
libai	李白	4283
maike	麦克	4283
mu	慕	4283
paiban	排版	4283
renyao	人妖	4283
tan	坦	4283
tichulai	提出来	4283
xielou	泄漏	4283
xincun	新村	4283
xingyu	性欲	4283
xunluo	巡逻	4283
yaoguai	妖怪	4283
yixiewenti	一些问题	4283
zaiba	再把	4283
zaojia	造假	4283
banyue	半月	4282
cengyou	曾有	4282
churang	出让	4282
daowo	到我	4282
houyou	后又	4282
jiangdadao	将达到	4282
liangchaowei	梁朝伟	4282
manbu	漫步	4282
najiao	那叫	4282
rushui	入睡	4282
tangguo	糖果	4282
wolia	我俩	4282
xingjian	兴建	4282
zhaodai	招待	4282
zongju	总局	4282
changhuan	偿还	4281
daizi	袋子	4281
diba	第八	4281
fangke	方可	4281
fudai	附带	4281
jiaodai	交待	4281
jiaoliang	较量	4281
jishuchuangxin	技术创新	4281
like	理科	4281
maochong	冒充	4281
sahuang	撒谎	4281
tiezai	贴在	4281
wangyin	网银	4281
yijiao	一角	4281
yipan	一盘	4281
yirujiwang	一如既往	4281
ga	咖	4280
lingdaozhe	领导者	4280
nongyu	浓郁	4280
peiyin	配音	4280
pixie	皮鞋	4280
qiu	丘	4280
shoushilv	收视率	4280
sike	思科	4280
xingqing	性情	4280
youdao	诱导	4280
youxian	有线	4280
zenneng	怎能	4280
zhubanfang	主办方	4280
bijiaoxihuan	比较喜欢	4279
canliu	残留	4279
cuo	搓	4279
dou	兜	4279
fan	繁	4279
fenqing	愤青	4279
gongshui	供水	4279
guanzhao	关照	4279
jian	监	4279
jiedianhua	接电话	4279
jishao	极少	4279
linghui	领会	4279
nayi	那一	4279
tiaoti	挑剔	4279
wen	蚊	4279
yangsheng	养生	4279
yinqi	因其	4279
youlv	忧虑	4279
zhai	寨	4279
zikao	自考	4279
guanguan	灌灌	4278
heimingdan	黑名单	4278
huiji	汇集	4278
jiache	驾车	4278
jiema	解码	4278
liwo	离我	4278
qingsuan	清算	4278
wenchuan	汶川	4278
yaoyan	耀眼	4278
yingtao	樱桃	4278
zhijia	支架	4278
biyou	必有	4277
bolan	波兰	4277
butan	不谈	4277
chenmi	沉迷	4277
dangyuanganbu	党员干部	4277
duoyanghua	多样化	4277
dusu	毒素	4277
gejizhengfu	各级政府	4277
gengxiang	更像	4277
guangtou	光头	4277
jiadian	加点	4277
lin	霖	4277
maomi	猫咪	4277
meiyouguanxi	没有关系	4277
minrui	敏锐	4277
nanting	难听	4277
pujing	普京	4277
renshou	人手	4277
shengfu	胜负	4277
shenyin	呻吟	4277
shishi	时时	4277
shiyebu	事业部	4277
suozhi	所知	4277
tougao	投稿	4277
youhuo	有货	4277
zhibing	治病	4277
disanzhe	第三者	4276
duguo	读过	4276
fanren	犯人	4276
gaixiao	该校	4276
guanguang	观光	4276
heyi	何以	4276
houcai	后才	4276
mingzao	明早	4276
mu	牧	4276
nan	楠	4276
ninxuyao	您需要	4276
qiangguo	强国	4276
shanghu	商户	4276
shao	绍	4276
tangchao	唐朝	4276
wangqian	往前	4276
wobangni	我帮你	4276
yan	验	4276
yanghuo	养活	4276
yao	遥	4276
yingwenban	英文版	4276
zhuda	主打	4276
biyezheng	毕业证	4275
chaoyang	朝阳	4275
deguoren	德国人	4275
fangcheng	方程	4275
jiandui	舰队	4275
qite	奇特	4275
tanbai	坦白	4275
yaoyan	谣言	4275
yin	吟	4275
youwan	游玩	4275
bashou	把手	4274
exing	恶性	4274
fenghui	峰会	4274
goujianhexie	构建和谐	4274
huaju	话剧	4274
jizhuangxiang	集装箱	4274
shenghua	生化	4274
shuiyi	睡衣	4274
xiangxiangli	想象力	4274
yanjiurenyuan	研究人员	4274
yijie	一届	4274
yubei	预备	4274
yuyue	愉悦	4274
dongzhi	东芝	4273
kanbuqing	看不清	4273
pei	裴	4273
waibian	外边	4273
woniu	蜗牛	4273
xiaojiahuo	小家伙	4273
zhongnian	中年	4273
jingji	竞技	4272
rongye	溶液	4272
ruwei	入围	4272
shanghuo	上火	4272
zilian	自恋	4272
zongjuesai	总决赛	4272
zuowu	作物	4272
changzheng	长征	4271
chuanqiu	传球	4271
dadi	打的	4271
diandiantou	点点头	4271
fangdichanye	房地产业	4271
jinpao	浸泡	4271
kaichang	开场	4271
lunkuo	轮廓	4271
suozuo	所作	4271
yibiao	仪表	4271
zhishou	之手	4271
zhiyi	之意	4271
beihai	北海	4270
chongxi	冲洗	4270
guaiguai	怪怪	4270
guangze	光泽	4270
hecha	核查	4270
hengli	亨利	4270
hunhou	婚后	4270
jiandie	间谍	4270
junyou	均由	4270
kaikuo	开阔	4270
kangshengsu	抗生素	4270
muqianguonei	目前国内	4270
qingshu	情书	4270
qudongchengxu	驱动程序	4270
shahai	杀害	4270
shihui	时会	4270
tieba	贴吧	4270
wanneng	万能	4270
xianyan	鲜艳	4270
xiegei	写给	4270
xiexu	些许	4270
yishunjian	一瞬间	4270
yongwan	用完	4270
zaiyemeiyou	再也没有	4270
zaizheyi	在这一	4270
zhengshiban	正式版	4270
zhongcai	仲裁	4270
chan	缠	4269
jiaxing	嘉兴	4269
lianbu	脸部	4269
nijiuhui	你就会	4269
qitaguojia	其他国家	4269
quanguorenmin	全国人民	4269
sihuo	死活	4269
suopei	索赔	4269
talia	他俩	4269
wenhao	问好	4269
xianxing	线性	4269
yanxi	演习	4269
zhanji	战绩	4269
zhishi	之势	4269
congmei	从没	4268
dierjie	第二届	4268
fupin	扶贫	4268
gaodiao	高调	4268
jieshou	接手	4268
jingye	敬业	4268
liulian	留恋	4268
luren	路人	4268
niuzhuan	扭转	4268
qianzhe	牵着	4268
shouyin	手淫	4268
xianzi	仙子	4268
zai	哉	4268
chi	齿	4267
falali	法拉利	4267
gaoqingchu	搞清楚	4267
hushuo	胡说	4267
jiao	浇	4267
juduo	居多	4267
liangjie	谅解	4267
lucheng	路程	4267
minshi	民事	4267
shifa	事发	4267
shoubing	手柄	4267
suanbusuan	算不算	4267
xiliechanpin	系列产品	4267
youqi	油漆	4267
beida	被打	4266
dilian	低廉	4266
guoranshi	果然是	4266
hui	挥	4266
ji	祭	4266
laozhang	老张	4266
mengzhong	梦中	4266
ninyou	您有	4266
qingliang	清凉	4266
qinlao	勤劳	4266
qusheng	取胜	4266
shizheng	市政	4266
shuaya	刷牙	4266
tiliang	体谅	4266
tisu	提速	4266
yaochi	要吃	4266
yiran	已然	4266
zhangjie	章节	4266
zhengzaijinxing	正在进行	4266
zhijieyingxiang	直接影响	4266
zhuquan	主权	4266
zudang	阻挡	4266
buyaotai	不要太	4265
duochangshijian	多长时间	4265
fushi	腐蚀	4265
gaoya	高雅	4265
pinbo	拼搏	4265
richangshenghuo	日常生活	4265
xinxi	欣喜	4265
zhuangji	装机	4265
bingyu	并与	4264
bushihenhao	不是很好	4264
choukong	抽空	4264
diandi	点滴	4264
gangdao	刚到	4264
houren	后人	4264
jishu	基数	4264
pingxing	平行	4264
qinwen	亲吻	4264
shiyu	十余	4264
shizhuang	时装	4264
shufang	书房	4264
tizhigaige	体制改革	4264
wenmingyongyu	文明用语	4264
xihuanchi	喜欢吃	4264
youxiaoxing	有效性	4264
boke	播客	4263
gezi	格子	4263
jieduanxing	阶段性	4263
lipu	离谱	4263
liuhecai	六合彩	4263
loufang	楼房	4263
mingji	明基	4263
pang	庞	4263
peng	朋	4263
pingpangqiu	乒乓球	4263
qinyou	亲友	4263
renshen	妊娠	4263
shi	拾	4263
shuangtui	双腿	4263
side	死的	4263
taiwanren	台湾人	4263
wei	惟	4263
weiyue	违约	4263
xiangjin	相近	4263
xingguang	星光	4263
yaojiang	要将	4263
youjiang	又将	4263
yuanrenminbi	元人民币	4263
zhencang	珍藏	4263
baoguan	报关	4262
chongxian	重现	4262
fanye	翻页	4262
fushi	复试	4262
menjiang	门将	4262
paigu	排骨	4262
qiaoqiao	瞧瞧	4262
queyou	却有	4262
taiji	太极	4262
tuifan	推翻	4262
xianjin	现今	4262
xujiu	许久	4262
chaiyou	柴油	4261
dandan	单单	4261
feixingyuan	飞行员	4261
guoshengri	过生日	4261
luanshuo	乱说	4261
shanyi	善意	4261
shouyinji	收音机	4261
xiangjian	相见	4261
xukong	虚空	4261
zhuanzhi	专制	4261
chengche	乘车	4260
duiwaikaifang	对外开放	4260
erbai	二百	4260
gao	膏	4260
haodifang	好地方	4260
jilupian	纪录片	4260
shuiyou	谁有	4260
suoshui	缩水	4260
xina	吸纳	4260
zheyinian	这一年	4260
zhezhongshiqing	这种事情	4260
zhinengshouji	智能手机	4260
zhishige	只是个	4260
burong	不容	4259
canyuzhe	参与者	4259
caokong	操控	4259
dangta	当她	4259
dianfan	典范	4259
duanpian	短片	4259
huoyuan	货源	4259
kankanba	看看吧	4259
laifang	来访	4259
nengwei	能为	4259
xianshiping	显示屏	4259
youyiwei	有一位	4259
zaiwangluoshang	在网络上	4259
zhongkao	中考	4259
zhuoyan	着眼	4259
anan	暗暗	4258
ba	坝	4258
chajue	察觉	4258
jingqing	敬请	4258
jingxing	惊醒	4258
kepu	科普	4258
qishi	起始	4258
rendouzhidao	人都知道	4258
renliu	人流	4258
weiyou	为由	4258
zhikong	指控	4258
chengxing	成型	4257
jiazhu	家住	4257
jiexiao	揭晓	4257
jingming	精明	4257
jiya	挤压	4257
jizhi	几只	4257
nongdao	弄到	4257
qizha	欺诈	4257
rongyao	荣耀	4257
shidi	湿地	4257
tuoqian	拖欠	4257
youhao	又好	4257
zhenzhen	阵阵	4257
bukuai	不快	4256
chudong	触动	4256
cihuiyi	次会议	4256
erchu	而出	4256
erge	二个	4256
fuchou	复仇	4256
fufa	复发	4256
goupi	狗屁	4256
guangdian	光电	4256
guanggu	光顾	4256
guolu	锅炉	4256
guore	过热	4256
haoma	好嘛	4256
huizhou	惠州	4256
jiangjiang	讲讲	4256
nikang	尼康	4256
piandi	偏低	4256
ranqi	燃气	4256
rui	锐	4256
sanlou	三楼	4256
shangren	上任	4256
shazi	沙子	4256
shijiegeguo	世界各国	4256
shouke	授课	4256
tuxian	凸显	4256
xiangjiehede	相结合的	4256
xianliang	限量	4256
xinxue	心血	4256
yongyuanbuhui	永远不会	4256
zhaobenshan	赵本山	4256
zherang	这让	4256
zhuangguan	壮观	4256
beizhan	备战	4255
buyongdanxin	不用担心	4255
dangzhen	当真	4255
dianshijiemu	电视节目	4255
fanyingchu	反映出	4255
feikuai	飞快	4255
fu	敷	4255
gaogao	高高	4255
gengxihuan	更喜欢	4255
hanjia	寒假	4255
hongdong	轰动	4255
jianjiao	尖叫	4255
jiming	几名	4255
shouzhang	手掌	4255
shuangbei	双倍	4255
shugei	输给	4255
tong	筒	4255
tuanhuo	团伙	4255
yidengjiang	一等奖	4255
yingyun	营运	4255
youcheng	又称	4255
youxing	游行	4255
yuren	与人	4255
zhengji	整机	4255
zhuangji	撞击	4255
zousi	走私	4255
benbu	本部	4254
dehenhao	得很好	4254
dougei	都给	4254
gezi	个子	4254
gongxu	工序	4254
henbude	恨不得	4254
huihe	回合	4254
jiangdao	讲到	4254
miao	喵	4254
pangpang	胖胖	4254
qianbujiu	前不久	4254
she	涉	4254
shiyixiang	是一项	4254
tingni	听你	4254
tingting	婷婷	4254
touzhi	透支	4254
chanzhi	产值	4253
chuanranbing	传染病	4253
dayang	大洋	4253
dianfei	电费	4253
guoliangtian	过两天	4253
jiamao	假冒	4253
jiaqiye	家企业	4253
kaozhe	靠着	4253
keshuo	可说	4253
tuxue	吐血	4253
yihuishi	一回事	4253
youhenduoren	有很多人	4253
bolin	柏林	4252
chuiniu	吹牛	4252
cihou	伺候	4252
henkeai	很可爱	4252
jianpai	减排	4252
lanyong	滥用	4252
sediao	色调	4252
sifu	私服	4252
xianyong	先用	4252
beijingshijian	北京时间	4251
buyaolian	不要脸	4251
congmang	匆忙	4251
daren	达人	4251
deyu	德语	4251
dishi	第十	4251
fen	粪	4251
kancuo	看错	4251
sichou	丝绸	4251
sisuo	思索	4251
siyu	死于	4251
tasuo	他所	4251
zhannei	站内	4251
ziwei	自慰	4251
biange	边个	4250
chiru	耻辱	4250
dailiren	代理人	4250
fendan	分担	4250
gongyong	公用	4250
guojishehui	国际社会	4250
jiaokeshu	教科书	4250
jiejuebanfa	解决办法	4250
jingmi	精密	4250
jinhua	金华	4250
jinzhu	进驻	4250
jinzi	金子	4250
kaogu	考古	4250
luneng	鲁能	4250
nachang	那场	4250
nvyou	女优	4250
qianxi	前夕	4250
qingkong	清空	4250
queye	却也	4250
shouzai	受灾	4250
shushang	树上	4250
sushuo	诉说	4250
xiaopin	小品	4250
xueshan	雪山	4250
yigan	乙肝	4250
youling	幽灵	4250
zhejiang	这将	4250
zongshu	综述	4250
digei	递给	4249
guorizi	过日子	4249
jiudian	九点	4249
lvcheng	旅程	4249
menpai	门派	4249
nashou	那首	4249
shaoyou	少有	4249
shuocuo	说错	4249
wanjiu	挽救	4249
woyuan	我院	4249
daota	倒塌	4248
dipan	底盘	4248
gongqiu	供求	4248
jiaozhu	教主	4248
naohai	脑海	4248
rongren	容忍	4248
yibao	一包	4248
zhuanyerenshi	专业人士	4248
zhujiang	珠江	4248
anying	暗影	4247
dandan	蛋蛋	4247
duoduo	朵朵	4247
fengdu	风度	4247
nana	娜娜	4247
paiqian	派遣	4247
paixi	拍戏	4247
renminwang	人民网	4247
shusong	输送	4247
weihun	未婚	4247
zhunquexing	准确性	4247
bianshen	变身	4246
cesuan	测算	4246
dagang	大纲	4246
duchang	赌场	4246
gaici	盖茨	4246
guanshui	关税	4246
liangfangmian	两方面	4246
maifangzi	买房子	4246
nuo	挪	4246
qingkan	请看	4246
tumo	涂抹	4246
zhuangui	专柜	4246
zuozuo	坐坐	4246
caili	财力	4245
dati	答题	4245
jiangshi	僵尸	4245
luosuo	罗嗦	4245
meiwan	没完	4245
nizhuan	逆转	4245
shu	署	4245
wuyan	无言	4245
xiaogui	小鬼	4245
zhixi	窒息	4245
bandao	半岛	4244
bibushang	比不上	4244
dingjin	定金	4244
dingpiao	订票	4244
diwen	低温	4244
fankong	反恐	4244
fanshen	翻身	4244
ganying	感应	4244
gonggong	公公	4244
gongshi	攻势	4244
gongxu	供需	4244
gouyong	够用	4244
haomi	毫米	4244
henbang	很棒	4244
lao	佬	4244
ning	拧	4244
paolai	跑来	4244
pashang	爬上	4244
qiangyouli	强有力	4244
qianxian	前线	4244
quantou	拳头	4244
ruan	阮	4244
shouxie	手写	4244
tajia	她家	4244
weimiao	微妙	4244
xiangmao	相貌	4244
yinyin	隐隐	4244
yiqiedoushi	一切都是	4244
yuanzhu	原著	4244
zhengzhi	争执	4244
zhiwang	之王	4244
zongjia	总价	4244
zouzhe	走着	4244
boshisheng	博士生	4243
chaoyangqu	朝阳区	4243
chu	储	4243
haolou	号楼	4243
liangnianqian	两年前	4243
pandian	盘点	4243
shusheng	书生	4243
tietong	铁通	4243
wei	為	4243
yibuxiaoxin	一不小心	4243
yingmi	影迷	4243
zhengwu	政务	4243
caiyuan	裁员	4242
meiyouzhaodao	没有找到	4242
tan	碳	4242
woxiangyao	我想要	4242
xinge	新歌	4242
xingye	兴业	4242
zhizhuxia	蜘蛛侠	4242
bing	丙	4241
chuquwan	出去玩	4241
daxuan	大选	4241
heshui	河水	4241
houtui	后退	4241
jiaoban	搅拌	4241
jingjingde	静静的	4241
shanzhuang	山庄	4241
tongji	同济	4241
benteng	奔腾	4240
dang	荡	4240
jingmai	静脉	4240
jiqi	激起	4240
libie	离别	4240
liuzhu	留住	4240
qichu	起初	4240
shimao	时髦	4240
shuixing	睡醒	4240
tanhuan	瘫痪	4240
tanran	坦然	4240
weizao	伪造	4240
xingshi	行事	4240
xiuxing	修行	4240
youyuan	有缘	4240
zaizhi	在职	4240
zhequn	这群	4240
zhongzhuan	中专	4240
zhuang	桩	4240
baoli	暴利	4239
chudong	出动	4239
chuzhong	出众	4239
dazhihui	大智慧	4239
erguang	耳光	4239
feiyue	飞跃	4239
haishimeiyou	还是没有	4239
hui	會	4239
huosheng	获胜	4239
jianrongxing	兼容性	4239
jide	级的	4239
jiejing	结晶	4239
niuniu	妞妞	4239
paidu	排毒	4239
qiege	切割	4239
tingzhang	厅长	4239
xingqiu	星球	4239
yuanzi	原子	4239
benling	本领	4238
biaoming	标明	4238
bujiuqian	不久前	4238
buti	不提	4238
cainenggou	才能够	4238
chongfan	重返	4238
chuo	戳	4238
dengshan	登山	4238
dongxiang	动向	4238
dun	蹲	4238
duwan	读完	4238
feichuan	飞船	4238
gaipian	该片	4238
gaoyi	高一	4238
gerenziliao	个人资料	4238
guben	股本	4238
jiamen	家门	4238
jiangshi	将使	4238
jicuo	记错	4238
kanqiu	看球	4238
milu	迷路	4238
pa	趴	4238
pianjian	偏见	4238
pucha	普查	4238
sha	纱	4238
shangbian	上边	4238
shiji	事迹	4238
suifeng	随风	4238
tianwang	天王	4238
tun	屯	4238
weiceng	未曾	4238
wozhao	我找	4238
wozhixiang	我只想	4238
xiangni	像你	4238
xiexiedajia	谢谢大家	4238
zhe	遮	4238
zhezhongfangfa	这种方法	4238
baozhang	暴涨	4237
dazuo	大作	4237
ganzang	肝脏	4237
gaoshuiping	高水平	4237
huafei	化肥	4237
huanqu	换取	4237
kuorong	扩容	4237
nanhang	南航	4237
qiaohe	巧合	4237
sidiao	死掉	4237
wanzhengxing	完整性	4237
zhongxian	中线	4237
chenzhe	趁着	4236
dangweishuji	党委书记	4236
daojia	道家	4236
kexin	可信	4236
nenggan	能干	4236
qiangren	强人	4236
sidian	四点	4236
tiaopi	调皮	4236
zhangdao	涨到	4236
baoyou	保佑	4235
chenggonglv	成功率	4235
duiren	对人	4235
gushichang	股市场	4235
huishou	回首	4235
miandian	缅甸	4235
suishen	随身	4235
wocai	我猜	4235
xiaoshoushouru	销售收入	4235
xiayue	下月	4235
xishoujian	洗手间	4235
zhengzhongshengming	郑重声明	4235
chaoting	朝廷	4234
chong	崇	4234
faxue	法学	4234
gaishi	该市	4234
gaixiang	该项	4234
haoshuo	好说	4234
huangjianxiang	黄健翔	4234
jiaodukan	角度看	4234
kuaikuai	快快	4234
liangtao	两套	4234
lingdaobanzi	领导班子	4234
liuchan	流产	4234
mianfen	面粉	4234
pengchang	捧场	4234
qin	钦	4234
shidian	十点	4234
shuguang	曙光	4234
wukelan	乌克兰	4234
